impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-180846,A731938,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965696,LOST,Teaka,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,White,"Jul 06, 2025",Date Lost,48TH  & S 150TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965696,Image Copyright HLP Inc. 2025,"Description: White with black patches and an all black nose. About 6 years old and neutered.<p/>Age: Over 1 year<p/>Location Lost: 48th & S 150th St, Seattle WA  98188<p/>Lost Date: 2025-07-06<p/>",
K25-180743,A731816,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964691,In Public Home,,Dog,Unknown<p/>,Unknown,Miniature Poodle,Brown,"Jul 10, 2025",Date Found,KB  HOMES JENKINS LANDING 265TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964691,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: KB homes Jenkins Landing 265th street, Kent WA  98042<p/>Found Date: 2025-07-10<p/>",
K25-181089,A732316,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968328,LOST,,Dog,Under 1 year<p/>,Male,Golden Retriever,Unknown,"Jul 06, 2025",Date Lost,12200 block of  2nd Ave NE,Seattle,,98125,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968328,Image Copyright HLP Inc. 2025,"<p/>Age: Under 1 year<p/>Location Lost: 12266 2nd Pl SW, Seattle, Seattle WA  98146<p/>Lost Date: 2025-07-06<p/>",
K25-179692,A730116,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952242,LOST,Josephine,Dog,Under 1 year<p/>,Female,Newfoundland,Black,"Jun 11, 2025",Date Lost,20600 block of  223RD PL SE,,,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952242,Image Copyright HLP Inc. 2025,"Description: 6 Month Old New Foundland.  100 pounds.  All black.  Very friendly.<p/>Age: Under 1 year<p/>Location Lost: 20602 223rd Place Southeast, Maple Valley WA  98038<p/>Lost Date: 2025-06-11<p/>",
K25-180568,A731569,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,NO AGE,Female,Domestic Shorthair,Black,"Jul 07, 2025",Received on,18000 block of  32ND AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731569,Image Copyright HLP Inc. 2025,Received on: 2025-07-07<p/> Found Near: 18000 block of  32ND AVE S<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>,
K25-180292,A731106,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958598,LOST,Bean,Dog,Unknown<p/>,Female,Chihuahua - Smooth Coated,Unknown,"Jun 28, 2025",Date Lost,EDMONDS  AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958598,Image Copyright HLP Inc. 2025,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",
K25-179233,A729410,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2947508,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Black,"May 30, 2025",Date Found,194TH  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2947508,Image Copyright HLP Inc. 2025,"Description: I Found a dog and I have no idea what to do, I can’t keep it at my house :( should I let it go? <p/>Age: Unknown<p/>Found Near: 194th st , Renton WA  98058<p/>Found Date: 2025-06-29<p/>",
K25-179534,A729863,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2950621,In Public Home,,Cat,Unknown<p/>,Unknown,Domestic Shorthair,Unknown,"Jun 06, 2025",Date Found,EASTRAIL  TRAIL AND NE 33RD PLACE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2950621,Image Copyright HLP Inc. 2025,"Description: Very shy but comfortable around people. Clearly someone's pet. There was no collar or microchip. <p/>Age: Unknown<p/>Found Near: Eastrail Trail and NE 33rd Place, Bellevue WA  98004<p/>Found Date: 2025-06-06<p/>",
K25-180534,A731519,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2962200,LOST,Sox,Dog,Over 1 year<p/>,Male,Pit Bull,Brown,"Jul 03, 2025",Date Lost,30900 block of  26TH AVE S,Federal Way,,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2962200,Image Copyright HLP Inc. 2025,"Description: Sox is a brown and white pit mix with an under belly with black spots white tip tail and lock like he is wearing tube socks. He has a mostly black nose with some pick with a random black sot all his toe beans are white he has a choker on that look like a normal black collar and part chain collar <p/>Age: Over 1 year<p/>Location Lost: 30921 26th ave s, Federal Way WA  98003<p/>Lost Date: 2025-07-03<p/>",
K25-181033,A732247,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732247,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 WEEKS,Male,Domestic Shorthair,Black / White,"Jul 18, 2025",Received on,600 block of  3RD AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732247,Image Copyright HLP Inc. 2025,"Received on: 2025-07-18<p/> Found Near: 600 block of  3RD AVE S<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180775,A731841,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964956,LOST,Frankie,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 09, 2025",Date Lost,116th  Ave NE & NE 60th St,Kirkland,,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964956,Image Copyright HLP Inc. 2025,"Description: Female neutered calico<p/>Age: Under 1 year<p/>Location Lost: 116th ave NE and 60th St, Kirkland WA  98033<p/>Lost Date: 2025-07-09<p/>",
K25-180142,A730919,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957413,LOST,Avery,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jun 11, 2025",Date Lost,2200 block of  S 288TH PL,Federal Way,,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957413,Image Copyright HLP Inc. 2025,"Description: Long/medium haired tabby. Very sweet, friendly and talkative. 4white toes. White fluffy belly.<p/>Age: Over 1 year<p/>Location Lost: 2218 s 288th pl, Federal Way WA  98003<p/>Lost Date: 2025-06-11<p/>",
K25-180730,A731800,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Starlight,Cat,16 WEEKS,Spayed Female,Domestic Shorthair,White,"Jul 10, 2025",Received on,20800 block of  108TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731800,Image Copyright HLP Inc. 2025,Received on: 2025-07-10<p/> Found Near: 20800 block of  108TH AVE SE<p/> Description: White Spayed Female Domestic Shorthair Cat<p/> Age: 16 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-179516,A729838,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2950299,LOST,Lexi,Dog,Over 1 year<p/>,Female,German Shepherd,Unknown,"Jun 06, 2025",Date Lost,25th  Ave NE & NE 55th St,Seattle,,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2950299,Image Copyright HLP Inc. 2025,"Description: Black and brown. Walks with a limp. <p/>Age: Over 1 year<p/>Location Lost: 25th st NE and 55th Ave NE, Tacoma WA  98422<p/>Lost Date: 2025-06-06<p/>",
K25-180481,A731439,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960932,LOST,Zorro,Dog,Over 1 year<p/>,Male,Alaskan Husky,Black,"Jul 03, 2025",Date Lost,263RD  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960932,Image Copyright HLP Inc. 2025,"Description: Long haired black white and some brown is friendly to anyone  <p/>Age: Over 1 year<p/>Location Lost: 263rd St, Kent WA  98032<p/>Lost Date: 2025-07-03<p/>",
K25-181047,A732265,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732265,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,Alaskan Husky / Mix,Black / Silver,"Jul 18, 2025",Received on,2300 block of  ALPINE PL,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732265,Image Copyright HLP Inc. 2025,"Received on: 2025-07-18<p/> Found Near: 2300 block of  ALPINE PL<p/> Description: Black / Silver Male Alaskan Husky / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-178618,A728437,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A728437,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spoodle,Cat,14 WEEKS,Female,Domestic Shorthair,Tortie,"May 13, 2025",Received on,10600 block of  SE 240TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A728437,Image Copyright HLP Inc. 2025,"Received on: 2025-05-13<p/> Found Near: 10600 block of  SE 240TH ST<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180867,A731972,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,3 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,"Jul 14, 2025",Received on,27100 block of  189TH AVE SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731972,Image Copyright HLP Inc. 2025,Received on: 2025-07-14<p/> Found Near: 27100 block of  189TH AVE SE<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-179958,A730580,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2955175,In Public Home,Molasses And,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jun 18, 2025",Date Found,SE  7th Pl & 130th Pl SE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2955175,Image Copyright HLP Inc. 2025,"Description: 2 female ~8wo kittens Found together, one is cream and the other is fawn<p/>Age: Under 1 year<p/>Found Near: SE 7th Pl and 130th Pl SE, Bellevue WA  98005<p/>Found Date: 2025-06-18<p/>",
K25-179957,A730576,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2955057,LOST,Peanut,Dog,Under 1 year<p/>,Female,Chihuahua - Smooth Coated,White,"Jun 14, 2025",Date Lost,NE  66th St & Roosevelt Way NE,Seattle,,98115,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2955057,Image Copyright HLP Inc. 2025,"Description: Peanut is a one year old female  chihuahua and winner dog she has a overbite she’s  white with some cream colored markings she has a pink nose  she’s not to sure of strangers  she will bark had never bitten anyone and when she barks at other dogs it’s a high pitched piercing bark<p/>Age: Under 1 year<p/>Location Lost: 66th  and Roosevelt NE, Seattle WA  98115<p/>Lost Date: 2025-06-14<p/>",
K25-181066,A732291,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732291,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Male,Domestic Shorthair,Brn Tabby,"Jul 19, 2025",Received on,15400 block of  65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732291,Image Copyright HLP Inc. 2025,"Received on: 2025-07-19<p/> Found Near: 15400 block of  65TH AVE S<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180920,A732108,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966788,LOST,Gus,Cat,,Male,Tonkinese,White,"Jul 14, 2025",Date Lost,39th  Ave SW & SW Stevens St,Seattle,,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966788,Image Copyright HLP Inc. 2025,,
K25-180856,A731950,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731950,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lady,Cat,1 YEAR 6 MONTHS,Spayed Female,Domestic Mediumhair,Calico,"Jul 13, 2025",Received on,6600 block of  S 124TH ST,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731950,Image Copyright HLP Inc. 2025,"Received on: 2025-07-13<p/> Found Near: 6600 block of  S 124TH ST<p/> Description: Calico Spayed Female Domestic Mediumhair Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180076,A730798,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2956623,In Public Home,,Reptile,Unknown<p/>,Unknown,,Unknown,"Jun 21, 2025",Date Found,98031 98031,,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2956623,Image Copyright HLP Inc. 2025,"Description: Iguana<p/>Age: Unknown<p/>Found Near: approx SE 220th and 103rd Place SE, Kent, at the former deadend - in the grass, Kent WA  98031<p/>Found Date: 2025-06-21<p/>",
K25-180912,A732093,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732093,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pawtra,Dog,6 MONTHS,Spayed Female,Pit Bull,Fawn / White,"Jul 15, 2025",Received on,3700 block of  S 168TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732093,Image Copyright HLP Inc. 2025,"Received on: 2025-07-15<p/> Found Near: 3700 block of  S 168TH ST<p/> Description: Fawn / White Spayed Female Pit Bull Dog<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181013,A732227,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967647,LOST,Nigel,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Black,"Jul 14, 2025",Date Lost,44TH  AVE S AND S HUDSON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967647,Image Copyright HLP Inc. 2025,"Description: black and white cat with tuxedo markings (white belly and feet and a bit of white on face, and otherwise black). She has one ear (right I think) that is clipped slightly as she was part of feral cat program in King county. she is neutered and about 6 years old. yellowish eyes. white whiskers. If my paperwork is correct her microchip form RASCK is 84310555<p/>Age: Over 1 year<p/>Location Lost: 44th Ave S and S Hudson, Seattle WA  98118<p/>Lost Date: 2025-07-14<p/>",
K25-180586,A731619,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2963156,LOST,Tisha (teesh,Bird,Over 1 year<p/>,Unknown,,Unknown,"Jul 06, 2025",Date Lost,SE  20th St & 137th Pl SE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2963156,Image Copyright HLP Inc. 2025,"Description: Yellow cockatiel with grey spots on shoulders/wings. She can sound a bit like a robin from a distance, but she's distinctly sharper and without sing-song.<p/>Age: Over 1 year<p/>Location Lost: SE 20th and 137 Pl SE, Bellevue WA  98005<p/>Lost Date: 2025-07-06<p/>",
K25-180772,A731838,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,10 WEEKS,Male,Domestic Mediumhair,Brn Tabby,"Jul 11, 2025",Received on,2800 block of  S 354TH LN,FEDERAL WAY,WA,98003,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731838,Image Copyright HLP Inc. 2025,Received on: 2025-07-11<p/> Found Near: 2800 block of  S 354TH LN<p/> Description: Brn Tabby Male Domestic Mediumhair Cat<p/> Age: 10 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-179680,A730091,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952135,In Public Home,Valerie Read,Cat,Unknown<p/>,Unknown,Russian Blue,Unknown,"Jun 11, 2025",Date Found,16400 block of  126TH PL SE,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952135,Image Copyright HLP Inc. 2025,Description: Female Grey Cat<p/>Age: Unknown<p/>Found Near: 16400 block of  126TH PL SE<p/>Found Date: 2025-06-11<p/>,
K25-179616,A729983,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2951589,LOST,Kiki,Dog,Over 1 year<p/>,Female,Lhasa Apso,Unknown,"Jun 09, 2025",Date Lost,308TH  AND MILITARY ROAD SOUTH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2951589,Image Copyright HLP Inc. 2025,"Description: 15 years old, 10 pounds, tri color lhasa apso, 3 legs, microchipped, no tag<p/>Age: Over 1 year<p/>Location Lost: 308th and military road south, Auburn WA  98001<p/>Lost Date: 2025-06-09<p/>",
K25-180793,A731865,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965049,LOST,Hopscotch,Cat,Unknown<p/>,Female,Domestic Longhair,Unknown,"Jul 08, 2025",Date Lost,2400 block of  170TH PL SE,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965049,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Location Lost: 2425 170th pl se, Bellevue WA  98007<p/>Lost Date: 2025-07-08<p/>",
K25-181006,A732205,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967453,LOST,Karen,Cat,Over 1 year<p/>,Female,Domestic Shorthair,White,"Jul 09, 2025",Date Lost,14000 block of  SR 169,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967453,Image Copyright HLP Inc. 2025,"Description: KS SUMRST120 Very friendly 9 yo spayed female the goes out to my yard for a short visit, but comes inside for meals and to sleep at night.  Gray and white tabby.<p/>Age: Over 1 year<p/>Location Lost: 14014 169th Ave SE, Renton, Renton WA  98059<p/>Lost Date: 2025-07-09<p/>",
K25-180071,A730754,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2956398,LOST,Pepper,Dog,Over 1 year<p/>,Female,Maltese,Black,"Jun 19, 2025",Date Lost,200 block of  15th Ave,Kirkland,,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2956398,Image Copyright HLP Inc. 2025,"Description: Pepper is the sweetest timid friendly lover she is all black with a little white on her chest she only has a few teeth so her tongue slightly sticks out she is 11 years old she barely barks she walked off Thursday night from the zenith park area 242nd and 15th is  she was wearing her pink harness approx 12lbs short  Maltese shit zu mix <p/>Age: Over 1 year<p/>Location Lost: 242 ND 15, Seattle WA  98198<p/>Lost Date: 2025-06-19<p/>",
K25-180605,A731660,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2963600,LOST,Sully,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"Jul 04, 2025",Date Lost,262ND  ST AND CENTRAL KENT WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2963600,Image Copyright HLP Inc. 2025,"Description: he's a medium  lab and Dalmatian mix, white and light tan , red. He's 18 years old and has hip problems. we have never been seperated.  He is micro chipped and has all his shots.<p/>Age: Over 1 year<p/>Location Lost:  262nd St and Central Kent wa, Kent WA  98032<p/>Lost Date: 2025-07-04<p/>",
K25-179822,A730311,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2953385,LOST,Boscoe,Dog,Over 1 year<p/>,Male,German Shepherd,Black,"Jun 13, 2025",Date Lost,21ST  AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2953385,Image Copyright HLP Inc. 2025,"Description: Black coated, has white fur near his tail and a little on his legs. Has a white tribal collar. <p/>Age: Over 1 year<p/>Location Lost: 21st Ave SW, Federal Way WA  98023<p/>Lost Date: 2025-06-13<p/>",
K25-179723,A730191,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952511,LOST,Dora,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,"Jun 08, 2025",Date Lost,23300 block of  112TH AVE SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952511,Image Copyright HLP Inc. 2025,"Description: Two year old tabby short-haired. Tri colr face, dark along back. A little chunky with short hair on tail and some white paws. She squeaks instead of meowing. Notch in one ear.<p/>Age: Over 1 year<p/>Location Lost: 23316 112th AVE SE, Kent WA  98031<p/>Lost Date: 2025-06-08<p/>",
K25-180262,A731058,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958265,LOST,Capone,Cat,Over 1 year<p/>,Male,Bengal,Unknown,"Jun 20, 2025",Date Lost,Kirkland  Library,,,,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958265,Image Copyright HLP Inc. 2025,"Description: Capone looks like a tabby with a mix of gray, white, and black stripes across his body and a small area of brown on his nose/mouth. He has a white chest, belly, and paws. His eyes are brown/green. His left back leg is all white. He is medium-sized. He is actually a Highlander lynx/Bengal mix.<p/>Age: Over 1 year<p/>Location Lost: Kirkland , Kirkland WA  98034<p/>Lost Date: 2025-06-20<p/>",
K25-180469,A726235,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A726235,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Hopper,Rabbit Sh,4 MONTHS,Neutered Male,Rabbit Sh,Br Brindle,"Jul 03, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A726235,Image Copyright HLP Inc. 2025,"Received on: 2025-07-03<p/> Description: Br Brindle<p/>  Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 4 MONTHS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Hopper and I'm a rabbit who is looking for a forever home. <p/><p/>I came in with Tod, we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow. <p/><p/>",
K25-180570,A731572,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,NO AGE,Female,Domestic Shorthair,Brn Tabby,"Jul 07, 2025",Received on,18000 block of  32ND AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731572,Image Copyright HLP Inc. 2025,Received on: 2025-07-07<p/> Found Near: 18000 block of  32ND AVE S<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>,
